Entry,EC Numbers,CLEAN-contact Prediction,CLEAN-contact Prediction Maxsep,ActSeekN Prediction
WP_011760344,2.7.1.2,EC:2.7.1.4,"EC:2.7.1.4,EC:2.7.1.59","[['B7MTP9 -- 2.7.1.59', 0.2844517412144985], ['Q9CMX5 -- 2.7.1.59', 0.2513461067973338], ['A0A0L0LAM4 -- 2.7.1.63', 0.1725189105808267], ['P82371 -- 2.7.1.4', 0.14584162070367043], ['Q1CJU5 -- 2.7.1.2', 0.14584162070367043], ['P75959 -- 2.7.1.59', 0.18320617362870645], ['P45425 -- 2.7.1.60', 0.18159885324297548], ['A0AAD8Z4K2 -- 2.5.1.57', 0.1289676397393892], ['A7H492 -- 2.7.1.2', 0.1217357791608101], ['Q59RW5 -- 2.7.1.1|2.7.1.59', 0.1783846929858292], ['P52792 -- 2.7.1.1', 0.1462435709286821]]"
WP_011760751,2.6.1.19,"EC:2.6.1.113,EC:2.6.1.18,EC:2.6.1.96",EC:2.6.1.113,"[['Q9I6J2 -- 2.6.1.113', 0.2474617361949339], ['Q9I6J2 -- 2.6.1.113', 0.22794015007186488], ['Q01K11 -- 2.6.1.96', 0.1808291020017005], ['D6R3B6 -- 2.6.1.119', 0.2078449123393673], ['A0A644WIN2 -- 2.6.1.113', 0.13592409939213335], ['A0A6N7C5X8 -- 2.6.1.105', 0.17798861743317618], ['Q7W7H6 -- 2.6.1.11', 0.14640994983342445], ['Q7VTJ7 -- 2.6.1.11', 0.1433277470368214], ['O04866 -- 2.6.1.11', 0.14846490923841255], ['Q88RB9 -- 2.6.1.48', 0.16937618403913507], ['A0A7J3NP14 -- 2.6.1.11', 0.1596156550897596], ['Q94AL9 -- 2.6.1.44', 0.14538247013093042], ['Q9FNK4 -- 2.6.1.13', 0.1649944799168697], ['A0A087RX27 -- 2.6.1.62', 0.13973156807809226], ['Q728P4 -- 2.6.1.62', 0.1433277470368214], ['O82521 -- 2.6.1.119', 0.1555963962535329], ['B7GHM5 -- 2.6.1.62', 0.13408066602525406], ['P50277 -- 2.6.1.62', 0.1418168725800897], ['Q7M181 -- 5.1.1.15', 0.13492697868728862], ['Q9I700 -- 2.6.1.18', 0.137797599843223], ['Q6BUP9 -- 2.6.1.11', 0.09966151385697804], ['Q89AK4 -- 2.6.1.62', 0.10325769281570722], ['P12995 -- 2.6.1.62', 0.09972207894523723], ['P40732 -- 2.6.1.11|2.6.1.17', 0.09851327929524421], ['A0A5S9PQR2 -- 2.6.1.113', 0.060105213387750815], ['A0A345DCB1 -- 2.6.1.105', 0.05814091395651218], ['A0A132BX51 -- 2.6.1.105', 0.05303391614361107], ['A0A6J5FXA0 -- 2.6.1.37', 0.06318740228371389], ['A0A1L9NUT2 -- 2.6.1.105', 0.051855517193187234]]"
WP_011760753,3.5.1.94,EC:3.5.1.94,EC:3.5.1.94,"[['P76038 -- 3.5.1.94', 0.27295299188437266], ['Q0SMT3 -- 6.3.4.2', 0.1836227906319008], ['Q2GCQ2 -- 6.3.4.2', 0.18486348303389671], ['C4K2E0 -- 6.3.4.2', 0.18238209822990487], ['B7IH88 -- 6.3.4.2', 0.1761786362199251], ['G0HV10 -- 6.3.4.2', 0.1867571880230748], ['Q59321 -- 6.3.4.2', 0.1841452040188728], ['O87761 -- 6.3.4.2', 0.1867571880230748], ['A4FKA9 -- 6.3.4.2', 0.1761786362199251], ['B2I2A7 -- 6.3.4.2', 0.16253101979796966], ['Q5V632 -- 4.1.3.27', 0.12145750498736685], ['Q09580 -- 6.3.5.2', 0.13321146617853905], ['A3CWS5 -- 6.3.4.2', 0.15136478818000612], ['O28949 -- 6.3.5.2', 0.11068307097003362], ['Q6PEI7 -- 3.5.1.|6.3.4.2', 0.1619433399831558], ['P0CL64 -- 6.3.5.2', 0.1464020185720223], ['A0AAV5PK25 -- 2.3.1.30', 0.11544997494996545], ['Q5SUR0 -- 6.3.5.3', 0.14019855656204258], ['A6VIG8 -- 6.3.5.3|3.5.1.2', 0.12322062736246639], ['Q73MV2 -- 6.3.5.3|3.5.1.2', 0.11989034775710884], ['Q9M0A7 -- 3.4.19.16', 0.13582349994113585], ['A0A0R1PCC2 -- 2.3.1.30', 0.12100044095889471], ['Q9M0A5 -- 3.4.19.16', 0.130273017346075], ['A0A0R2KHC9 -- 2.3.1.30', 0.10878941573925036], ['A6VH31 -- 6.3.5.2', 0.09990863695270039], ['A1KP87 -- 6.3.5.2', 0.1098995089410362], ['O15067 -- 6.3.5.3', 0.14888341996214582], ['G2SPK7 -- 2.3.1.30', 0.1121196953446079], ['Q44250 -- 3.5.1.123', 0.11544997494996545], ['Q3IMR2 -- 6.3.5.3|3.5.1.2', 0.1098995089410362], ['J9VUY6 -- 6.3.5.2', 0.13712949194323681], ['Q6G336 -- 6.3.5.3|3.5.1.2', 0.11100960214282207], ['A0A2Z4Y0Z6 -- 2.3.1.31', 0.10656922933567865], ['O05756 -- 6.3.5.3|3.5.1.2', 0.1098995089410362], ['Q8XYN6 -- 6.3.5.3', 0.12211053416068055], ['Q2NF29 -- 6.3.5.3|3.5.1.2', 0.10434904293210696], ['O29008 -- 6.3.5.3|3.5.1.2', 0.10656922933567865], ['Q8NS90 -- 4.3.3.6|3.5.1.2', 0.11414401612012766], ['Q3YT30 -- 6.3.5.2', 0.10878941573925036], ['Q167J3 -- 6.3.5.3|3.5.1.2', 0.1098995089410362], ['Q7M9X0 -- 4.3.2.10|3.5.1.2', 0.10323894973032113], ['D5T420 -- 2.3.1.31', 0.10101876332674942], ['Q55843 -- 6.3.5.3|3.5.1.2', 0.11290332371813169], ['Q9RHX0 -- 6.3.5.3|3.5.1.2', 0.1121196953446079], ['Q5UYV3 -- 4.3.2.10|3.5.1.2', 0.12158817053210333], ['A0A120HUS7 -- 2.3.1.30', 0.1098995089410362], ['Q3AII4 -- 6.3.5.3|3.5.1.2', 0.09879857692317771], ['A0B5C6 -- 6.3.5.3|3.5.1.2', 0.10767932253746453], ['Q6HLE5 -- 4.3.2.10|3.5.1.2', 0.11100960214282207], ['P58789 -- 4.3.2.10|3.5.1.2', 0.09990867012496359], ['Q8TXV8 -- 6.3.5.2', 0.09879857692317771], ['A0A4Q7ZMY3 -- 2.3.1.31', 0.10323894973032113], ['B5F1J1 -- 2.3.1.46', 0.10323894973032113], ['A0A087BEV1 -- 2.3.1.31', 0.09879857692317771], ['P00903 -- 2.6.1.85', 0.11231564390331787], ['A0A926EU99 -- 2.3.1.31', 0.09546829731782018], ['B8J215 -- 4.3.2.10|3.5.1.2', 0.10323894973032113], ['A0A078AHB4 -- 3.4.19.9', 0.08717521493221563], ['P00903 -- 2.6.1.85', 0.11231564390331787], ['Q46JZ5 -- 4.3.2.10|3.5.1.2', 0.09657839051960604], ['O29741 -- 4.3.3.6|3.5.1.2', 0.09435820411603434], ['Q54J48 -- 4.3.3.6|3.5.1.2', 0.08991783130889094], ['Q6B940 -- 6.3.5.5', 0.09925570729617626], ['Q7V1S5 -- 6.3.5.3|3.5.1.2', 0.09657839051960604], ['Q47XB5 -- 4.3.2.10|3.5.1.2', 0.10323894973032113], ['Q0P8J7 -- 3.5.1.129', 0.09213801771246263], ['B3WED3 -- 4.3.2.10|3.5.1.2', 0.09879857692317771], ['Q113E7 -- 4.3.2.10|3.5.1.2', 0.09435820411603434], ['P59957 -- 4.3.2.10|3.5.1.2', 0.09990867012496359], ['A0A179V559 -- 4.3.2.10|3.5.1.2', 0.09768848372139188], ['Q88R44 -- 4.3.2.10|3.5.1.2', 0.09768848372139188], ['Q2P3K0 -- 4.3.2.10|3.5.1.2', 0.10212885652853528]]"
WP_011864920,2.7.1.59,EC:2.7.1.59,EC:2.7.1.59,"[['Q9CMX5 -- 2.7.1.59', 0.43842384805289564], ['A0A0L0LAM4 -- 2.7.1.63', 0.5615761519471043]]"
WP_012179094,2.7.1.5,EC:4.2.3.192,EC:4.2.3.192,"[['A0A2H1IE29 -- 2.7.1.17', 0.46017721980314347], ['Q5WXZ6 -- 2.7.1.33', 0.2861354605511873], ['Q5HBZ7 -- 2.7.1.33', 0.2536873196456692]]"
WP_012179101,4.1.2.19,EC:1.14.14.111,"EC:1.14.14.111,EC:3.4.17.19","[['Q8KWT4 -- 1.1.1.385', 0.1839568223628413], ['Q5FPE5 -- 1.1.1.119', 0.20848439867788682], ['A0A0H2ZTN5 -- 1.1.1.275', 0.16377709503844654], ['Q9GKX2 -- 1.1.1.300|1.1.1.184', 0.24193087371579092], ['Q937L4 -- 1.1.1.245|1.1.1.163', 0.20185081020503448], ['Q99LB2 -- 1.1.1.300|1.1.1.184', 0.24304609700140342], ['F1SWA0 -- 1.1.1.326', 0.22877486790866955], ['Q9F7E0 -- 1.1.1.245', 0.19805971439279935], ['A0QYC2 -- 1.1.1.403', 0.23635631813207514], ['T2KLZ8 -- 1.1.1.127', 0.2027980866389578], ['Q5HKG6 -- 1.1.1.304', 0.17893948821084507], ['P50171 -- 1.1.1.62|1.1.1.239', 0.2318969858339718], ['G0RH19 -- 1.1.1.10', 0.22347978150520417], ['A0A081RC01 -- 1.1.1.53', 0.15145742865331716], ['C0KTJ6 -- 1.1.1.406', 0.23524187526863596], ['P19871 -- 1.1.1.51', 0.19805971439279935], ['P0DXE1 -- 1.1.1.438', 0.2027980866389578], ['Q6TMA3 -- 1.1.1.245', 0.22347978150520417], ['A0QYC2 -- 1.1.1.403', 0.2318969858339718], ['P19871 -- 1.1.1.51', 0.20090287041226385], ['Q8JIS3 -- 1.1.1.162|1.1.1.10', 0.2318969858339718], ['A0A0H2ZU39 -- 1.1.1.275', 0.15290721892461337], ['A7IQH5 -- 1.1.1.269', 0.2318969858339718], ['P73826 -- 1.1.1.36', 0.21394684661641136], ['A7B3K3 -- 1.1.1.|1.1.1.392', 0.21606577085907508], ['A0A0T7CJU1 -- 1.1.1.36', 0.15000814565643358], ['Q56632 -- 1.3.1.28', 0.19332200550548823], ['Q1MLL4 -- 1.1.1.16', 0.2171244915793423], ['P0AET8 -- 1.1.1.159', 0.22520720696464358], ['Q21929 -- 1.1.1.10', 0.22632243025025603], ['A0A077MKN5 -- 1.3.1.28', 0.14638468452701833], ['Q6CEE9 -- 1.1.1.138', 0.21288812589614414], ['P22441 -- 1.1.1.233', 0.17815894897424236], ['Q16698 -- 1.3.1.124', 0.21963343180310105], ['Q8YIN7 -- 1.1.1.159', 0.14421101366889927], ['A0A0W0S7B6 -- 1.1.1.100|1.1.1.178', 0.14131194040071948], ['P50203 -- 1.1.1.36', 0.18289732122040078], ['A0A6H0ZPB0 -- 1.1.1.276', 0.1647250738523258], ['P50205 -- 1.1.1.36', 0.18763569346655923], ['A0A1X7BV93 -- 1.1.1.233', 0.13913826954260042], ['D4D446 -- 1.1.1.332', 0.1904788494860237], ['A0A2S6TXD0 -- 1.2.1.62', 0.2171244915793423], ['P08088 -- 1.3.1.19', 0.17057824015190137], ['Q8NK50 -- 1.1.1.138', 0.2065328359702823], ['Q5LA59 -- 1.1.1.|1.1.1.159', 0.2162885423684369], ['A0A653PG61 -- 1.1.1.175', 0.20229647028708414], ['A0A395KXU6 -- 1.1.1.175', 0.2065328359702823], ['A0A7K0BW94 -- 1.1.1.53', 0.14638468452701833], ['P39485 -- 1.1.1.47', 0.18384526101317136], ['A7DY56 -- 1.1.1.206|1.1.1.236', 0.2162885423684369], ['P87219 -- 1.1.1.289', 0.20017828744548508], ['P87219 -- 1.1.1.289', 0.20017828744548508], ['Q5LA59 -- 1.1.1.|1.1.1.159', 0.20959876349910866], ['O00058 -- 1.1.1.138', 0.18384526101317136], ['Q9XT00 -- 1.1.1.62|1.1.1.239', 0.21740298523187612], ['A0A2X4TPU4 -- 1.1.1.53', 0.13623919627442063], ['C1DMX5 -- 1.1.1.378', 0.21071398678472114], ['B8H1Z0 -- 1.1.1.175', 0.18195004478647744], ['Q04520 -- 1.1.1.304', 0.17057808406746672], ['P0AEK2 -- 1.1.1.100', 0.20625465448661784], ['A7DY56 -- 1.1.1.206|1.1.1.236', 0.207369097350057], ['P39071 -- 1.3.1.28', 0.17247330029416064], ['O75452 -- 1.1.1.53|1.1.1.105|1.1.1.315|1.1.1.209', 0.20290976505195368], ['Q9Y7P2 -- 1.1.1.102', 0.17247330029416064], ['A0A839RH20 -- 1.1.1.53', 0.13044206428688632], ['Q0WRJ2 -- 1.1.1.102', 0.19845043275385038], ['A0A2H6K3D0 -- 1.1.1.325', 0.19382373892068785], ['P05707 -- 1.1.1.140', 0.18958663183642507], ['A0A1Z5JHS9 -- 1.1.1.206', 0.13116645214812178], ['Q3U0B3 -- 1.1.1.270|1.1.1.62', 0.19845043275385038], ['C8WMP0 -- 1.1.1.|1.1.1.52', 0.176876793385766], ['P50166 -- 1.1.1.250', 0.1648917720285377], ['P0C0Y5 -- 1.1.1.138', 0.19287587717013457], ['Q9VXJ0 -- 4.2.1.119', 0.18841654487203127], ['Q9KWN1 -- 1.1.1.276', 0.18323208331162785], ['Q6YN16 -- 1...', 0.19064621102108292], ['Q7RZR2 -- 1.1.1.102', 0.16299655580184377], ['Q8LKV5 -- 1.1.1.146|1.1.1.62', 0.18841654487203127], ['P08088 -- 1.3.1.19', 0.14632915748938968], ['Q93UV4 -- 1.1.1.256', 0.16015406314122657], ['Q94KL7 -- 1.1.1.331', 0.15257253487560365], ['A0A1Y2NU24 -- 1.1.1.340', 0.11739801004052147], ['A0A5S9MYN9 -- 1.1.1.392', 0.12319514202805579], ['A0A538A5V0 -- 1.1.1.381', 0.16628587917777063], ['O08756 -- 1.1.1.159|1.1.1.35|1.1.1.178|1.1.1.62|1.1.1.53|1.1.1.239', 0.18507165543736712], ['Q59RQ2 -- 1.1.1.102', 0.17838187656803886], ['A0A8C5KW34 -- 1.1.1.62|1.1.1.300', 0.15446775110229755], ['Q6F7B8 -- 1.2.1.n2', 0.15067731864890974], ['Q70FD1 -- 1.1.1.15|1.1.1.250', 0.1684040620193697], ['P50162 -- 1.1.1.206', 0.17475861054416691], ['O02691 -- 1.1.1.159|1.1.1.35|1.1.1.178|1.1.1.62|1.1.1.53|1.1.1.239', 0.17949709985365134], ['O52384 -- 1.3.1.29', 0.14878210242221582], ['A0A173KS42 -- 1.1.1.76', 0.17369988982389967], ['A0A0F5FXZ1 -- 1.1.1.298|1.1.1.381', 0.12709740897887417], ['P51660 -- 4.2.1.119|4.2.1.107', 0.1772674337045997], ['A0A8F5SIS3 -- 1.1.1.198', 0.1459389464027513], ['E0VSJ3 -- 1.1.1.105', 0.10942619264604285], ['A0A2P4UHY3 -- 1.1.1.313', 0.104353448519744], ['Q9KWN1 -- 1.1.1.276', 0.1556942235687106], ['P37058 -- 1.1.1.64|1.1.1.62', 0.15942932409001312], ['P39831 -- 1.1.1.298|1.1.1.381', 0.15719965794096147], ['A0A087D157 -- 1.1.1.105', 0.12124424267929859], ['P0AFS3 -- 1.5.1.50|1.5.1.3', 0.16946321197183223], ['Q8X505 -- 1.1.1.298|1.1.1.381', 0.1459389464027513], ['P38342 -- 1.1.1.102', 0.1661183225371681], ['A0A6J5A542 -- 1.1.1.53', 0.10580273151662759], ['O88736 -- 1.1.1.210|1.1.1.270|1.1.1.62', 0.15831410080440067], ['E6TIQ4 -- 1.3.1.19', 0.11015108778169096], ['Q82IY9 -- 1.1.1.340', 0.14933967504391338], ['A0A2P9AFF8 -- 1.1.1.127', 0.10072998739032873], ['P55006 -- 1.1.1.105', 0.13077655323035273], ['Q8AVY8 -- 1.1.1.330|1.1.1.62', 0.1472207508012497], ['P50842 -- 1.1.1.127', 0.13361970924981723], ['Q9M2E2 -- 1.1.1.|1.1.1.208', 0.14192566439778428], ['Q1R183 -- 1.1.1.313', 0.14298438511805153], ['A0A143Q6D5 -- 1.1.1.313', 0.14298438511805153], ['O14756 -- 1.1.1.105|1.1.1.62|1.1.1.209|1.1.1.53|1.1.1.239', 0.1449353234879174], ['P37058 -- 1.1.1.64|1.1.1.62', 0.15385476850629734], ['P50170 -- 1.1.1.53|1.1.1.105|1.1.1.315|1.1.1.209', 0.14605054677352988], ['Q6P3L6 -- 1.1.1.330|1.1.1.62', 0.14086620227645247], ['C1DMX5 -- 1.1.1.378', 0.1449353234879174], ['A0A8B6DK30 -- 1.1.1.105', 0.09448707825741874], ['Q9HK58 -- 1.1.1.377', 0.13239272950899153], ['P9WGT3 -- 1.1.1.36|1.1.1.100', 0.13267176945704665], ['P14060 -- 1.1.1.145|1.1.1.210|1.1.1.270|5.3.3.1', 0.14382088062447823], ['T0FLV1 -- 4.2.1.109', 0.09030616156963191], ['A0A3Q8GYY4 -- 5.5.1.34', 0.11561416005795415], ['P38286 -- 1.1.1.330', 0.13601665889171077], ['A0A379M2V6 -- 1.3.1.28', 0.08406247201454864], ['P0A9P9 -- 1.1.1.69', 0.12286053602126339], ['P9WQP7 -- 5.3.3.1|1.1.1.145', 0.1192929921405634], ['A0A6J5FGU6 -- 4.1.1.51', 0.07391698376195095], ['Q5RCU5 -- 1.1.1.71|1.1.1.184|1.1.1.196|1.1.1.197|1.1.1.189', 0.12263788157522754], ['Q12068 -- 1.1.1.283|1.1.1.265', 0.12040821542617587], ['O75452 -- 1.1.1.53|1.1.1.105|1.1.1.315|1.1.1.209', 0.12709721387333087], ['Q64105 -- 1.1.1.153', 0.12598277100989166], ['P39640 -- 1.1.1.385', 0.12391999814259523], ['A7GKX7 -- 4.1.1.128', 0.11332834253353521], ['P51658 -- 1.1.1.239|1.1.1.62', 0.1260381809841943], ['D2WKD9 -- 1.1.1.216', 0.11650598749646615], ['Q00278 -- 1.1.1.349', 0.12598277100989166], ['A0A2S6TBZ7 -- 5.1.3.26', 0.09955978336260891], ['P0DMP5 -- 1.1.1.194', 0.09855588730001437], ['Q9WXG7 -- 1.3.1.49', 0.10061850408287615], ['Q58NB6 -- 1.1.1.53|1.1.1.105|1.1.1.209', 0.11371843655684762], ['P51110 -- 1.1.1.219|1.1.1.234', 0.10518947577286672], ['Q86A17 -- 1.5.1.34', 0.1025701058115893], ['Q54L85 -- 1.1.1.170', 0.09381817841270323], ['Q9Y6Z9 -- 1.1.1.', 0.09114199371721128], ['Q9LD00 -- 1.23.1.3|1.23.1.4', 0.08907980616654482], ['Q62878 -- 1.1.1.145|5.3.3.1', 0.10702943810969262], ['B7PHR6 -- 1.1.1.105', 0.05580018538928727]]"
WP_012426462,4.2.1.43,EC:4.2.1.43,EC:4.2.1.43,"[['Q1JUQ0 -- 4.2.1.43', 0.5033335331110979], ['Q1JUQ0 -- 4.2.1.43', 0.49666646688890226]]"
WP_012426549,2.6.1.19,"EC:2.6.1.113,EC:2.6.1.18,EC:2.6.1.96,EC:2.6.1.77,EC:2.6.1.119",EC:2.6.1.113,"[['Q9I6J2 -- 2.6.1.113', 0.2957492780966296], ['A0A5E6ZGV3 -- 2.6.1.113', 0.17465415466134543], ['A0A644WIN2 -- 2.6.1.113', 0.17465415466134543], ['Q01K11 -- 2.6.1.96', 0.20751930149980366], ['A0A418SGX4 -- 2.6.1.113', 0.14742311108087602], ['Q94AL9 -- 2.6.1.44', 0.18848627966683318], ['A0A645BFF7 -- 5.1.1.21', 0.14085024882649036], ['Q728P4 -- 2.6.1.62', 0.1903284427508285], ['D6R3B6 -- 2.6.1.119', 0.20311320251866213], ['B7GHM5 -- 2.6.1.62', 0.18050505261858374], ['A0A087RX27 -- 2.6.1.62', 0.1792769438959202], ['M1GRN3 -- 5.1.1.21', 0.20036834906014608], ['M1GRN3 -- 5.1.1.21', 0.20036834906014608], ['Q9I700 -- 2.6.1.18', 0.2073026634692785], ['P50277 -- 2.6.1.62', 0.18252729769741888], ['Q8A7T2 -- 2.8.1.6|2.6.1.62', 0.18924467814621354], ['Q88RB9 -- 2.6.1.48', 0.17154821460843944], ['A0A7J3NP14 -- 2.6.1.11', 0.16262768892707585], ['Q89AK4 -- 2.6.1.62', 0.1498067734991859], ['Q7W7H6 -- 2.6.1.11', 0.14428117203663807], ['Q7VTJ7 -- 2.6.1.11', 0.14428117203663807], ['O04866 -- 2.6.1.11', 0.1289321804418455], ['Q9FNK4 -- 2.6.1.13', 0.13940557170384585], ['P40732 -- 2.6.1.11|2.6.1.17', 0.14446179366819523], ['P12995 -- 2.6.1.62', 0.11773619820780032], ['A0A6J5FXA0 -- 2.6.1.37', 0.08227085536632334], ['A0A345DCB1 -- 2.6.1.105', 0.06948609559848969], ['A0A1L9NUT2 -- 2.6.1.105', 0.05962646276800842]]"
WP_012426550,6.3.1.11,"EC:6.3.1.2,EC:6.3.1.11,EC:1.14.15.3",EC:6.3.1.2,"[['A0A3P5XHL7 -- 6.3.1.11', 0.2117068161623857], ['B6IMX3 -- 6.3.1.11', 0.20514227313751848], ['A0A1C9WB64 -- 6.3.1.11', 0.1687819056092535], ['A0A2S6SDJ8 -- 6.3.1.11', 0.21203489353248925], ['I3R584 -- 6.3.1.11', 0.20233411155835307], ['O08467 -- 6.3.1.2', 0.17651342992754124], ['A0A2H6AS18 -- 6.3.1.11', 0.15105758276816728], ['P15623 -- 6.3.1.2', 0.14551419088050163], ['A0A335TC75 -- 6.3.1.11', 0.10098471140995804], ['Q05650 -- 6.3.1.2', 0.13143673923122992], ['O87393 -- 6.3.1.2', 0.1337345600338515], ['A0A0N1GNU2 -- 6.3.1.11', 0.1323485582326564], ['P15103 -- 6.3.1.2|2.3.1.225', 0.12180882375753631], ['P94845 -- 6.3.1.2', 0.10787746134537404], ['P16580 -- 6.3.1.2|4.1.1.15', 0.10867989963335845], ['P15105 -- 6.3.1.2|2.3.1.225', 0.11013852504666129], ['P22878 -- 6.3.1.2', 0.08989797621229373], ['Q04831 -- 6.3.1.2', 0.08059813810870368]]"
WP_012428705,1.1.1.122;1.1.1.173,"EC:1.1.1.107,EC:1.1.1.122,EC:1.1.1.316","EC:1.1.1.107,EC:1.1.1.122","[['A0A839W1M6 -- 1.1.1.122', 0.254782686329645], ['A0A7W8QIN3 -- 1.1.1.122', 0.1719450699540797], ['Q76KC2 -- 1.1.1.107', 0.20173907689789644], ['Q52472 -- 1.1.1.122', 0.1958809876452812], ['O81884 -- 1.1.1.316', 0.17565217917309758], ['A0A653APE6 -- 1.1.1.346', 0.11125850202035513], ['A0A7W6VT41 -- 1.1.1.122', 0.11006864197158638], ['A0A1D8AWP0 -- 1.1.1.107', 0.11066357199597077], ['Q04212 -- 1.1.1.116', 0.14315793100787955], ['A0A3S9WDV7 -- 1.1.1.107', 0.10292906996269408], ['P26690 -- 2.3.1.170', 0.13226532757952442], ['A0A5B6YZ34 -- 1.1.1.65', 0.10352399998707842], ['A0A087CPS6 -- 1.1.1.188', 0.0922197119493556], ['A0A831A1V9 -- 1.1.1.149', 0.09043471601806256], ['P82125 -- 1.1.1.263', 0.13638450145370684], ['A0A0H2LPV0 -- 1.1.1.346', 0.09043471601806256], ['A0A251SSL2 -- 1.1.1.210', 0.10160191836983663], ['W6R6J3 -- 1.1.1.149', 0.09281464197373998], ['A0A9R1J9J9 -- 1.1.1.285', 0.09816939223899611], ['B9WYE6 -- 1.1.1.353', 0.1205950079337727], ['P14065 -- 1.1.1.156', 0.12448526755635811], ['P14065 -- 1.1.1.156', 0.12448526755635811], ['A0A5B6YUI0 -- 1.1.1.365', 0.08210528396040151], ['A0A1W2TBT8 -- 1.1.1.119|1.1.1.263|1.1.1.149', 0.09061788225687156], ['B9VRJ2 -- 1.1.1.247', 0.1180776954225574], ['P52895 -- 1.1.1.209|1.1.1.51|1.1.1.62|1.3.1.20|1.1.1.112|1.1.1.357', 0.11716241846196605], ['A0A061IAP4 -- 1.1.1.149', 0.08787181384647455], ['A0A364MXW5 -- 1.1.1.184|1.1.1.119|1.1.1.2|1.1.5.9|1.1.1.21|1.1.1.47', 0.08787181384647455], ['A0A5E7D4J8 -- 1.1.1.184', 0.07972535800472409], ['A0A1D8PRB0 -- 1.1.1.358', 0.0956978594110519], ['A0A251RS30 -- 1.1.1.224', 0.0796338461439065], ['Q04212 -- 1.1.1.116', 0.106590462839407], ['A0A395HT93 -- 1.1.1.307', 0.0810067615847935], ['A0A0D2IFT8 -- 1.1.1.307', 0.09336390316154397], ['P15121 -- 1.1.1.21|1.1.1.372|1.1.1.54|1.1.1.300', 0.10343263064343464], ['A0A202F9Y9 -- 1.1.1.156', 0.08787181384647455], ['A0A1Y6K9M4 -- 1.1.1.|1.1.1.283', 0.07757447298257598], ['A0A0D2DIN5 -- 1.1.1.307', 0.0768877777335095], ['A0A0H3KPN5 -- 1.1.1.213', 0.07414194685173546], ['P17516 -- 1.1.1.225|1.1.1.209|1.1.1.51|1.1.1.210|1.1.1.62|1.1.1.|1.1.1.357|1.1.1.53', 0.10526318456461732], ['A0A099NYW3 -- 1.1.1.358', 0.07414194685173546], ['Q10PE7 -- 1.1.1.285', 0.09130429247159047], ['Q9TV64 -- 1.3.1.3', 0.1070937384858], ['A0A2P1GIY9 -- 1.1.1.439', 0.097391185129112], ['P15121 -- 1.1.1.21|1.1.1.372|1.1.1.54|1.1.1.300', 0.10251703697801265], ['O13848 -- 1.1.1.190|1.1.1.191', 0.0906178030806639], ['C9JRZ8 -- 1.1.1.300|1.1.1.216|1.1.1.64|1.1.1.54|1.1.1.', 0.09610978154904261], ['K0KYW7 -- 1.1.1.149', 0.05830664197804716], ['A0A9E7S518 -- 1.1.1.440', 0.07935935806717828], ['Q5R5D5 -- 1.1.1.19|1.1.1.54|1.1.1.2|1.6..|1.1.1.372|1.1.1.20', 0.09519450458845126], ['P23457 -- 1.1.1.50', 0.09153308004125524], ['Q5REQ0 -- 1.1.1.209|1.1.1.51|1.1.1.210|1.1.1.62|1.1.1.|1.3.1.20|1.1.1.149|1.1.1.112|1.1.1.270|1.1.1.357|1.1.1.53', 0.09153308004125524]]"
WP_012428706,4.2.1.68;4.2.1.90,"EC:4.4.1.24,EC:4.2.1.7",EC:4.4.1.24,"[['P42604 -- 4.2.1.7', 0.4744726987104442], ['Q1KLK0 -- 2.8.3.22', 0.2952281302190781], ['A9WC39 -- 2.8.3.22', 0.23029917107047768]]"
WP_012431492,5.3.1.7,"EC:5.3.1.7,EC:5.1.3.11,EC:5.1.3.8,EC:5.3.1.31",EC:5.3.1.7,"[['F2JVT6 -- 5.3.1.7', 0.25455590458569505], ['P32140 -- 5.3.1.31', 0.25293109941043884], ['P32140 -- 5.3.1.31', 0.21428903040597272], ['B8DZK4 -- 5.1.3.11', 0.14556698097379484], ['A0A0P9JFY5 -- 5.3.1.7', 0.13265698462409858]]"
WP_012431722,1.3.8.7,"EC:1.3.8.1,EC:1.3.8.7,EC:1.3.8.8","EC:1.3.8.1,EC:1.3.8.7,EC:1.3.8.8","[['A3SI50 -- 1.3.99.41', 0.3070989290468294], ['P45954 -- 1.3.8.1|1.3.8.5', 0.1878303769954882], ['Q0AVM4 -- 1.3.8.1', 0.17240395575957362], ['Q3L887 -- 1.3.8.7|1.3.8.8|1.3.8.1', 0.19425800824594636], ['Q06319 -- 1.3.8.1', 0.13840872995216247], ['A0A6J4LJ54 -- 1.3.99.12', 0.05999133123909101]]"
